study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	sample_title
PRJEB4337	SAMEA2146411	ERS326954	ERX288498	ERR315335	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315335/ERR315335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315335/ERR315335_2.fastq.gz	adrenal_4a
PRJEB4337	SAMEA2153307	ERS327018	ERX288611	ERR315336	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315336/ERR315336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315336/ERR315336_2.fastq.gz	placenta_6c
PRJEB4337	SAMEA2159931	ERS327012	ERX288621	ERR315337	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315337/ERR315337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315337/ERR315337_2.fastq.gz	thyroid_5b
PRJEB4337	SAMEA2153031	ERS327025	ERX288641	ERR315338	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315338/ERR315338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315338/ERR315338_2.fastq.gz	spleen_3a
PRJEB4337	SAMEA2145893	ERS326932	ERX288474	ERR315339	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315339/ERR315339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315339/ERR315339_2.fastq.gz	skin_6a
PRJEB4337	SAMEA2153427	ERS327003	ERX288637	ERR315340	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315340/ERR315340_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315340/ERR315340_2.fastq.gz	prostate_4b
PRJEB4337	SAMEA2144333	ERS327011	ERX288597	ERR315341	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315341/ERR315341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315341/ERR315341_2.fastq.gz	lung_3f
PRJEB4337	SAMEA2154125	ERS326933	ERX288490	ERR315342	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315342/ERR315342_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315342/ERR315342_2.fastq.gz	fat_e
PRJEB4337	SAMEA2154125	ERS326933	ERX288475	ERR315343	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315343/ERR315343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315343/ERR315343_2.fastq.gz	fat_e
PRJEB4337	SAMEA2152474	ERS326961	ERX288571	ERR315344	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315344/ERR315344_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315344/ERR315344_2.fastq.gz	smallintestine_4a
PRJEB4337	SAMEA2142670	ERS326947	ERX288559	ERR315345	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315345/ERR315345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315345/ERR315345_2.fastq.gz	appendix_4b
PRJEB4337	SAMEA2158569	ERS327020	ERX288615	ERR315346	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315346/ERR315346_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315346/ERR315346_2.fastq.gz	lung_3e
PRJEB4337	SAMEA2163459	ERS326988	ERX288587	ERR315347	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315347/ERR315347_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315347/ERR315347_2.fastq.gz	gallbladder_5b
PRJEB4337	SAMEA2156266	ERS326931	ERX288473	ERR315348	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315348/ERR315348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315348/ERR315348_2.fastq.gz	colon_a
PRJEB4337	SAMEA2159912	ERS326965	ERX288514	ERR315349	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315349/ERR315349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315349/ERR315349_2.fastq.gz	gallbladder_5a
PRJEB4337	SAMEA2149178	ERS326957	ERX288563	ERR315350	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315350/ERR315350_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315350/ERR315350_2.fastq.gz	testis_4a
PRJEB4337	SAMEA2149178	ERS326957	ERX288501	ERR315351	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315351/ERR315351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315351/ERR315351_2.fastq.gz	testis_4a
PRJEB4337	SAMEA2158188	ERS326963	ERX288512	ERR315352	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315352/ERR315352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315352/ERR315352_2.fastq.gz	testis_7a
PRJEB4337	SAMEA2147920	ERS326952	ERX288496	ERR315353	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315353/ERR315353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315353/ERR315353_2.fastq.gz	lung_4d
PRJEB4337	SAMEA2159368	ERS327009	ERX288635	ERR315354	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315354/ERR315354_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315354/ERR315354_2.fastq.gz	prostate_4c
PRJEB4337	SAMEA2161920	ERS326997	ERX288630	ERR315355	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315355/ERR315355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315355/ERR315355_2.fastq.gz	urinarybladder_5b
PRJEB4337	SAMEA2155550	ERS327004	ERX288578	ERR315356	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315356/ERR315356_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315356/ERR315356_2.fastq.gz	heart_6a
PRJEB4337	SAMEA1968540	ERS326990	ERX288643	ERR315357	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315357/ERR315357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315357/ERR315357_2.fastq.gz	colon_b
PRJEB4337	SAMEA2145313	ERS327005	ERX288613	ERR315358	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315358/ERR315358_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315358/ERR315358_2.fastq.gz	thyroid_5a
PRJEB4337	SAMEA2155984	ERS326972	ERX288524	ERR315359	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315359/ERR315359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315359/ERR315359_2.fastq.gz	prostate_4a
PRJEB4337	SAMEA2146982	ERS326940	ERX288525	ERR315360	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315360/ERR315360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315360/ERR315360_2.fastq.gz	gallbladder_5c
PRJEB4337	SAMEA2156099	ERS326960	ERX288594	ERR315361	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315361/ERR315361_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315361/ERR315361_2.fastq.gz	endometrium_5a
PRJEB4337	SAMEA2147975	ERS326969	ERX288521	ERR315362	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315362/ERR315362_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315362/ERR315362_2.fastq.gz	esophagus_5b
PRJEB4337	SAMEA2144120	ERS326966	ERX288634	ERR315363	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315363/ERR315363_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315363/ERR315363_2.fastq.gz	thyroid_5c
PRJEB4337	SAMEA2153932	ERS326971	ERX288581	ERR315364	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315364/ERR315364_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315364/ERR315364_2.fastq.gz	smallintestine_4b
PRJEB4337	SAMEA2159368	ERS327009	ERX288595	ERR315365	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315365/ERR315365_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315365/ERR315365_2.fastq.gz	prostate_4c
PRJEB4337	SAMEA2142670	ERS326947	ERX288489	ERR315366	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315366/ERR315366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315366/ERR315366_2.fastq.gz	appendix_4b
PRJEB4337	SAMEA2159607	ERS326987	ERX288549	ERR315367	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315367/ERR315367_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315367/ERR315367_2.fastq.gz	heart_6b
PRJEB4337	SAMEA2155974	ERS326937	ERX288505	ERR315368	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315368/ERR315368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315368/ERR315368_2.fastq.gz	endometrium_4b
PRJEB4337	SAMEA2154405	ERS326950	ERX288494	ERR315369	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315369/ERR315369_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315369/ERR315369_2.fastq.gz	stomach_3b
PRJEB4337	SAMEA2161920	ERS326997	ERX288584	ERR315370	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315370/ERR315370_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315370/ERR315370_2.fastq.gz	urinarybladder_5b
PRJEB4337	SAMEA2149876	ERS326936	ERX288552	ERR315371	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315371/ERR315371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315371/ERR315371_2.fastq.gz	lymphnode_4a
PRJEB4337	SAMEA2163623	ERS326943	ERX288625	ERR315372	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315372/ERR315372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315372/ERR315372_2.fastq.gz	skin_5f
PRJEB4337	SAMEA2149876	ERS326936	ERX288478	ERR315373	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315373/ERR315373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315373/ERR315373_2.fastq.gz	lymphnode_4a
PRJEB4337	SAMEA2142853	ERS326981	ERX288564	ERR315374	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315374/ERR315374_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315374/ERR315374_2.fastq.gz	placenta_6a
PRJEB4337	SAMEA2162568	ERS326999	ERX288569	ERR315375	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315375/ERR315375_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315375/ERR315375_2.fastq.gz	placenta_3a
PRJEB4337	SAMEA2145893	ERS326932	ERX288629	ERR315376	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315376/ERR315376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315376/ERR315376_2.fastq.gz	skin_6a
PRJEB4337	SAMEA2142853	ERS326981	ERX288541	ERR315377	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315377/ERR315377_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315377/ERR315377_2.fastq.gz	placenta_6a
PRJEB4337	SAMEA2153980	ERS326953	ERX288497	ERR315378	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315378/ERR315378_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315378/ERR315378_2.fastq.gz	fat_x1
PRJEB4337	SAMEA2142586	ERS327014	ERX288605	ERR315379	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315379/ERR315379_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315379/ERR315379_2.fastq.gz	stomach_3a
PRJEB4337	SAMEA2145245	ERS326980	ERX288624	ERR315380	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315380/ERR315380_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315380/ERR315380_2.fastq.gz	ovary_6a
PRJEB4337	SAMEA2153733	ERS326958	ERX288502	ERR315381	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315381/ERR315381_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315381/ERR315381_2.fastq.gz	smallintestine_4c
PRJEB4337	SAMEA2151887	ERS326949	ERX288492	ERR315382	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315382/ERR315382_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315382/ERR315382_2.fastq.gz	salivarygland_6a
PRJEB4337	SAMEA1970526	ERS327021	ERX288622	ERR315383	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315383/ERR315383_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315383/ERR315383_2.fastq.gz	kidney_d
PRJEB4337	SAMEA2151741	ERS326973	ERX288526	ERR315384	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315384/ERR315384_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315384/ERR315384_2.fastq.gz	heart_5b
PRJEB4337	SAMEA2162841	ERS326985	ERX288631	ERR315385	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315385/ERR315385_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315385/ERR315385_2.fastq.gz	adrenal_4d
PRJEB4337	SAMEA1968189	ERS326986	ERX288548	ERR315386	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315386/ERR315386_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315386/ERR315386_2.fastq.gz	endometrium_4a
PRJEB4337	SAMEA2155628	ERS326941	ERX288511	ERR315387	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315387/ERR315387_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315387/ERR315387_2.fastq.gz	lymphnode_5b
PRJEB4337	SAMEA2153733	ERS326958	ERX288520	ERR315388	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315388/ERR315388_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315388/ERR315388_2.fastq.gz	smallintestine_4c
PRJEB4337	SAMEA2154361	ERS326979	ERX288574	ERR315389	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315389/ERR315389_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315389/ERR315389_2.fastq.gz	heart_5a
PRJEB4337	SAMEA2152719	ERS326955	ERX288618	ERR315390	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315390/ERR315390_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315390/ERR315390_2.fastq.gz	lymphnode_5c
PRJEB4337	SAMEA2148093	ERS326984	ERX288544	ERR315391	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315391/ERR315391_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315391/ERR315391_2.fastq.gz	testis_7c
PRJEB4337	SAMEA2145544	ERS326977	ERX288533	ERR315392	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315392/ERR315392_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315392/ERR315392_2.fastq.gz	adrenal_4c
PRJEB4337	SAMEA2150385	ERS326956	ERX288500	ERR315393	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315393/ERR315393_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315393/ERR315393_2.fastq.gz	lymphnode_4b
PRJEB4337	SAMEA2145122	ERS326939	ERX288580	ERR315394	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315394/ERR315394_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315394/ERR315394_2.fastq.gz	liver_c
PRJEB4337	SAMEA2163105	ERS326942	ERX288484	ERR315395	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315395/ERR315395_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315395/ERR315395_2.fastq.gz	bonemarrow_6c
PRJEB4337	SAMEA2149004	ERS326989	ERX288551	ERR315396	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315396/ERR315396_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315396/ERR315396_2.fastq.gz	bonemarrow_6a
PRJEB4337	SAMEA2145240	ERS326993	ERX288556	ERR315397	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315397/ERR315397_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315397/ERR315397_2.fastq.gz	thyroid_5d
PRJEB4337	SAMEA2156670	ERS326944	ERX288503	ERR315398	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315398/ERR315398_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315398/ERR315398_2.fastq.gz	esophagus_5c
PRJEB4337	SAMEA2153307	ERS327018	ERX288612	ERR315399	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315399/ERR315399_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315399/ERR315399_2.fastq.gz	placenta_6c
PRJEB4337	SAMEA2152798	ERS326994	ERX288558	ERR315400	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315400/ERR315400_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315400/ERR315400_2.fastq.gz	colon_d
PRJEB4337	SAMEA2147596	ERS327007	ERX288589	ERR315401	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315401/ERR315401_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315401/ERR315401_2.fastq.gz	skin_5e
PRJEB4337	SAMEA2155371	ERS326946	ERX288488	ERR315402	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315402/ERR315402_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315402/ERR315402_2.fastq.gz	ovary_6b
PRJEB4337	SAMEA1968540	ERS326990	ERX288553	ERR315403	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315403/ERR315403_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315403/ERR315403_2.fastq.gz	colon_b
